"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2021-12-23 19:55:58","18506561","MLNBUSD","Limit","SELL","97","10MLN","2021-12-28 12:42:06","10MLN","97","970BUSD","FILLED"
"2021-12-20 00:33:42","18442373","MLNBUSD","Limit","SELL","88.8","10MLN","2021-12-23 19:54:00","0MLN","0","0BUSD","CANCELED"
"2021-12-15 09:56:32","58462095","ARBUSD","Limit","BUY","36.66","0.3AR","2021-12-15 14:47:32","0.3AR","36.66","10.998BUSD","FILLED"
"2021-12-15 09:54:31","172004059","FTMBUSD","Limit","BUY","1.3111","210FTM","2021-12-15 14:34:42","210FTM","1.3111","275.331BUSD","FILLED"
"2021-12-13 10:12:35","245032136","LUNABUSD","Limit","BUY","58.88","4LUNA","2021-12-13 10:53:14","4LUNA","58.88","235.52BUSD","FILLED"
"2021-12-11 21:11:29","242504516","LUNABUSD","Limit","BUY","48.88","5LUNA","2021-12-13 10:11:20","0LUNA","0","0BUSD","CANCELED"
"2021-12-11 21:10:42","242503529","LUNABUSD","Limit","BUY","51.11","5LUNA","2021-12-13 21:23:37","0LUNA","0","0BUSD","CANCELED"
"2021-12-11 21:10:03","242502430","LUNABUSD","Limit","BUY","54.44","5LUNA","2021-12-13 19:22:23","5LUNA","54.44","272.2BUSD","FILLED"
"2021-12-11 21:04:01","242488607","LUNABUSD","Limit","BUY","57.77","5LUNA","2021-12-11 21:31:44","5LUNA","57.77","288.85BUSD","FILLED"
"2021-12-11 21:01:54","242484052","LUNABUSD","Limit","BUY","58.55","5LUNA","2021-12-11 21:03:20","0LUNA","0","0BUSD","CANCELED"
"2021-12-11 20:59:34","242480955","LUNABUSD","Limit","BUY","58.88","5LUNA","2021-12-11 21:00:33","5LUNA","58.88","294.4BUSD","FILLED"
"2021-12-09 21:22:23","238405035","LUNABUSD","Limit","BUY","66.88","0.9LUNA","2021-12-09 21:24:10","0.9LUNA","66.88","60.192BUSD","FILLED"
"2021-12-08 23:14:34","245545114","AVAXBUSD","Limit","BUY","90.22","16AVAX","2021-12-09 09:07:14","16AVAX","90.22","1443.52BUSD","FILLED"
"2021-12-08 23:13:25","245544492","AVAXBUSD","Limit","BUY","88.77","50AVAX","2021-12-09 12:04:29","50AVAX","88.77","4438.5BUSD","FILLED"
"2021-12-08 23:07:29","56950504","ARBUSD","Limit","BUY","44.66","50AR","2021-12-09 09:37:30","50AR","44.66","2233BUSD","FILLED"
"2021-12-08 22:58:58","239697401","MANABUSD","Limit","BUY","3.4343","200MANA","2021-12-09 20:13:20","200MANA","3.4343","686.86BUSD","FILLED"
"2021-12-08 22:56:02","164131406","FTMBUSD","Limit","BUY","1.5599","2000FTM","2021-12-09 02:20:21","2000FTM","1.5599","3119.8BUSD","FILLED"
"2021-12-08 11:02:15","238654399","MANABUSD","Limit","BUY","3.383","200MANA","2021-12-08 23:01:01","0MANA","0","0BUSD","CANCELED"
"2021-12-08 10:58:40","83897384","EURBUSD","Limit","SELL","1.13","5000EUR","2021-12-08 11:27:42","5000EUR","1.13","5650BUSD","FILLED"
"2021-12-06 23:40:39","243077848","AVAXBUSD","Limit","BUY","83.38","5AVAX","2021-12-09 20:43:39","5AVAX","83.38","416.9BUSD","FILLED"
"2021-12-06 23:38:47","234732685","MANABUSD","Limit","BUY","3.33","200MANA","2021-12-08 11:00:28","0MANA","0","0BUSD","CANCELED"
"2021-12-06 23:34:57","161334780","FTMBUSD","Limit","BUY","1.3777","1000FTM","2021-12-11 20:59:03","0FTM","0","0BUSD","CANCELED"
"2021-12-06 23:32:41","56292885","ARBUSD","Limit","BUY","40.11","40AR","2021-12-11 00:05:52","40AR","40.11","1604.4BUSD","FILLED"
"2021-12-06 23:30:39","243069344","AVAXBUSD","Limit","BUY","78.98","20AVAX","2021-12-11 00:17:39","20AVAX","78.98","1579.6BUSD","FILLED"
"2021-12-06 23:27:59","83777869","EURBUSD","Limit","SELL","1.131","5000EUR","2021-12-08 14:26:40","5000EUR","1.131","5655BUSD","FILLED"
"2021-12-05 18:16:58","83603352","EURBUSD","Limit","SELL","1.131","5000EUR","2021-12-05 22:51:24","5000EUR","1.131","5655BUSD","FILLED"
"2021-12-03 19:12:32","83285772","EURBUSD","Limit","SELL","1.133","5000EUR","2021-12-05 18:16:16","0EUR","0","0BUSD","CANCELED"
"2021-12-03 08:05:37","55014990","ARBUSD","Limit","BUY","54.15","35AR","2021-12-03 16:08:47","35AR","54.15","1895.25BUSD","FILLED"
"2021-12-03 08:03:59","55014843","ARBUSD","Limit","BUY","54.33","34.89AR","2021-12-03 08:04:18","0AR","0","0BUSD","CANCELED"
"2021-12-03 07:52:36","236813963","AVAXBUSD","Limit","BUY","103.66","34AVAX","2021-12-03 17:01:25","34AVAX","103.66","3524.44BUSD","FILLED"
"2021-12-03 07:47:33","155119390","FTMBUSD","Limit","BUY","2.0555","130FTM","2021-12-03 16:05:09","130FTM","2.0555","267.215BUSD","FILLED"
"2021-11-30 08:06:08","232567386","AVAXBUSD","Limit","BUY","101.11","35AVAX","2021-12-03 07:51:24","0AVAX","0","0BUSD","CANCELED"
"2021-11-30 08:01:55","1025201122","BNBBUSD","Limit","SELL","656.6","10BNB","2022-02-24 21:43:41","0BNB","0","0BUSD","CANCELED"
"2021-11-30 07:50:18","211898679","ATOMBUSD","Limit","BUY","26.22","25ATOM","2021-12-02 00:43:56","25ATOM","26.22","655.5BUSD","FILLED"
"2021-11-30 07:32:40","54258819","ARBUSD","Limit","BUY","53.55","35AR","2021-12-03 07:56:13","0AR","0","0BUSD","CANCELED"
"2021-11-29 21:47:25","629427481","ADABUSD","Limit","SELL","1.614","41363.6ADA","2021-11-29 21:48:08","0ADA","0","0BUSD","CANCELED"
"2021-11-27 23:06:53","229040314","AVAXBUSD","Limit","BUY","104.44","12.8AVAX","2021-11-28 02:41:21","12.8AVAX","104.44","1336.832BUSD","FILLED"
"2021-11-27 19:20:23","53485482","ARBUSD","Limit","BUY","52.33","30AR","2021-11-28 18:31:41","30AR","52.33","1569.9BUSD","FILLED"
"2021-11-27 19:10:08","338410109","CAKEBUSD","Limit","BUY","12.88","150CAKE","2021-11-28 01:39:31","150CAKE","12.88","1932BUSD","FILLED"
"2021-11-27 19:04:18","228732891","AVAXBUSD","Limit","BUY","103.33","10AVAX","2021-11-28 17:38:26","10AVAX","103.33","1033.3BUSD","FILLED"
"2021-11-26 08:49:20","1018167899","BNBBUSD","Limit","SELL","633.6","10BNB","2021-11-30 01:00:11","10BNB","633.6","6336BUSD","FILLED"
"2021-11-26 08:47:40","1018160265","BNBBUSD","Limit","SELL","587.9","10BNB","2021-11-26 13:00:21","10BNB","587.9","5879BUSD","FILLED"
"2021-11-24 22:54:59","336949153","CAKEBUSD","Limit","BUY","13.83","0.93CAKE","2021-11-26 07:38:22","0.93CAKE","13.83","12.8619BUSD","FILLED"
"2021-11-24 22:44:15","43625786","AVAXEUR","Limit","BUY","88.66","67.67AVAX","2021-11-30 08:06:53","0AVAX","0","0EUR","CANCELED"
"2021-11-24 22:33:53","43623205","AVAXEUR","Limit","BUY","100","1AVAX","2021-11-24 22:39:16","0AVAX","0","0EUR","CANCELED"
"2021-11-24 22:29:59","208979348","ATOMBUSD","Limit","BUY","27.33","43ATOM","2021-11-26 08:17:34","43ATOM","27.33","1175.19BUSD","FILLED"
"2021-11-24 22:07:31","208974761","ATOMBUSD","Limit","BUY","29.33","40ATOM","2021-11-24 22:29:23","0ATOM","0","0BUSD","CANCELED"
"2021-11-24 21:47:23","1015213867","BNBBUSD","Limit","SELL","587.9","2BNB","2021-11-24 22:02:20","2BNB","587.9","1175.8BUSD","FILLED"
"2021-11-23 23:04:35","1013728803","BNBBUSD","Limit","SELL","604.9","2BNB","2021-11-24 21:46:19","0BNB","0","0BUSD","CANCELED"
"2021-11-23 22:37:55","51855100","ARBUSD","Limit","BUY","55.66","20AR","2021-11-26 08:21:44","20AR","55.66","1113.2BUSD","FILLED"
"2021-11-23 22:31:44","336500478","CAKEBUSD","Limit","BUY","14.14","30CAKE","2021-11-24 14:42:00","30CAKE","14.14","424.2BUSD","FILLED"
"2021-11-22 22:15:57","17578679","MLNBUSD","Limit","SELL","129.9","10MLN","2021-12-20 00:30:38","0MLN","0","0BUSD","CANCELED"
"2021-11-22 22:12:23","364718490","MATICBUSD","Limit","SELL","1.666","908.3MATIC","2021-11-23 15:27:24","908.3MATIC","1.666","1513.2278BUSD","FILLED"
"2021-11-22 21:59:44","336048290","CAKEBUSD","Limit","BUY","14.66","70CAKE","2021-11-23 07:24:58","70CAKE","14.66","1026.2BUSD","FILLED"
"2021-11-22 21:57:35","139623724","FTMBUSD","Limit","BUY","1.9444","450FTM","2021-11-22 23:45:45","450FTM","1.9444","874.98BUSD","FILLED"
"2021-11-22 21:55:19","336047019","CAKEBUSD","Limit","BUY","14.94","35CAKE","2021-11-22 23:58:35","35CAKE","14.94","522.9BUSD","FILLED"
"2021-11-22 21:50:26","139618759","FTMBUSD","Limit","BUY","1.9383","550FTM","2021-11-23 00:09:50","550FTM","1.9383","1066.065BUSD","FILLED"
"2021-11-22 21:34:53","139603682","FTMBUSD","Limit","BUY","1.9469","601FTM","2021-11-22 21:38:19","601FTM","1.9469","1170.0869BUSD","FILLED"
"2021-11-22 21:32:16","336037575","CAKEBUSD","Limit","BUY","14.66","45CAKE","2021-11-22 21:58:36","0CAKE","0","0BUSD","CANCELED"
"2021-11-22 21:27:25","18722283","KLAYBUSD","Limit","SELL","1.452","469.1KLAY","2021-11-22 21:27:30","469.1KLAY","1.452","681.1332BUSD","FILLED"
"2021-11-21 21:41:57","18653357","KLAYBUSD","Limit","SELL","1.888","469.1KLAY","2021-11-22 21:26:28","0KLAY","0","0BUSD","CANCELED"
"2021-11-21 19:00:23","335497635","CAKEBUSD","Limit","BUY","15.11","15CAKE","2021-11-22 00:08:37","15CAKE","15.11","226.65BUSD","FILLED"
"2021-11-19 20:31:23","9221379","RAREBUSD","Limit","SELL","2.222","100RARE","2021-11-21 15:19:25","100RARE","2.222","222.2BUSD","FILLED"
"2021-11-19 20:23:18","334831323","CAKEBUSD","Limit","BUY","14.55","84CAKE","2021-11-22 21:02:59","84CAKE","14.55","1222.2BUSD","FILLED"
"2021-11-19 20:17:04","78090669","ATABUSD","Limit","SELL","1.013","1200ATA","2021-11-19 20:17:04","1200ATA","1.01351758","1216.2211BUSD","FILLED"
"2021-11-19 20:06:52","215580664","AVAXBUSD","Limit","BUY","88.99","20AVAX","2021-11-22 21:53:18","0AVAX","0","0BUSD","CANCELED"
"2021-11-18 21:04:54","173603908","MANABUSD","Limit","BUY","3.6606","10MANA","2021-11-18 21:04:54","10MANA","3.6606","36.606BUSD","FILLED"
"2021-11-18 21:04:12","173602003","MANABUSD","Limit","BUY","2.3344","500MANA","2021-11-22 21:33:53","0MANA","0","0BUSD","CANCELED"
"2021-11-18 18:56:35","134383282","FTMBUSD","Limit","BUY","1.7777","601FTM","2021-11-22 21:43:22","0FTM","0","0BUSD","CANCELED"
"2021-11-17 21:37:30","49651543","ARBUSD","Limit","BUY","52.44","20AR","2021-11-18 15:24:33","20AR","52.44","1048.8BUSD","FILLED"
"2021-11-17 12:09:57","132538360","FTMBUSD","Limit","BUY","2.1111","395FTM","2021-11-17 15:27:35","395FTM","2.1111","833.8845BUSD","FILLED"
"2021-11-17 12:05:19","203937366","ATOMBUSD","Limit","BUY","28.33","35ATOM","2021-11-17 13:19:04","35ATOM","28.33","991.55BUSD","FILLED"
"2021-11-17 11:10:49","211740639","AVAXBUSD","Limit","BUY","91.88","20AVAX","2021-11-18 17:07:13","0AVAX","0","0BUSD","CANCELED"
"2021-11-17 09:20:31","36571972","KEEPBUSD","Limit","SELL","0.7211","3997KEEP","2021-11-17 09:20:31","3997KEEP","0.7211","2882.2367BUSD","FILLED"
"2021-11-17 09:03:45","36564399","KEEPBUSD","Limit","SELL","0.7244","3997KEEP","2021-11-17 09:19:24","0KEEP","0","0BUSD","CANCELED"
"2021-11-17 08:34:39","49489360","ARBUSD","Limit","BUY","57.77","15AR","2021-11-17 15:15:09","15AR","57.77","866.55BUSD","FILLED"
"2021-11-17 08:30:17","333463671","CAKEBUSD","Limit","BUY","15.55","66CAKE","2021-11-18 13:21:20","66CAKE","15.55","1026.3BUSD","FILLED"
"2021-11-17 08:26:19","203818187","ATOMBUSD","Limit","BUY","27.11","37ATOM","2021-11-18 15:13:19","37ATOM","27.11","1003.07BUSD","FILLED"
"2021-11-16 14:42:37","203315810","ATOMBUSD","Limit","BUY","28.55","20ATOM","2021-11-16 19:48:46","20ATOM","28.55","571BUSD","FILLED"
"2021-11-16 14:38:51","131215779","FTMBUSD","Limit","BUY","2.07","350FTM","2021-11-17 12:09:30","0FTM","0","0BUSD","CANCELED"
"2021-11-16 14:32:58","210144608","AVAXBUSD","Limit","BUY","91.11","2AVAX","2021-11-16 14:34:57","0AVAX","0","0BUSD","CANCELED"
"2021-11-16 14:31:34","210142426","AVAXBUSD","Limit","BUY","91.77","10AVAX","2021-11-16 14:31:42","10AVAX","91.77","917.7BUSD","FILLED"
"2021-11-16 14:29:39","333005650","CAKEBUSD","Limit","BUY","16.66","50CAKE","2021-11-16 20:38:17","50CAKE","16.66","833BUSD","FILLED"
"2021-11-16 14:26:33","210133684","AVAXBUSD","Limit","BUY","91.81","10AVAX","2021-11-16 14:28:06","0AVAX","0","0BUSD","CANCELED"
"2021-11-16 14:21:42","210124215","AVAXBUSD","Limit","BUY","88.88","25AVAX","2021-11-18 17:12:02","0AVAX","0","0BUSD","CANCELED"
"2021-11-16 13:58:38","332992861","CAKEBUSD","Limit","BUY","17.11","50CAKE","2021-11-16 14:29:06","0CAKE","0","0BUSD","CANCELED"
"2021-11-16 11:47:31","203218361","ATOMBUSD","Limit","BUY","29.44","40ATOM","2021-11-16 11:49:32","40ATOM","29.44","1177.6BUSD","FILLED"
"2021-11-16 11:34:23","49128516","ARBUSD","Limit","BUY","55.66","30AR","2021-11-18 04:37:53","30AR","55.66","1669.8BUSD","FILLED"
"2021-11-16 11:33:09","49128119","ARBUSD","Limit","BUY","45.66","20AR","2021-11-17 08:33:49","0AR","0","0BUSD","CANCELED"
"2021-11-16 11:28:21","209942420","AVAXBUSD","Limit","BUY","85.55","12.28AVAX","2021-11-17 21:36:32","0AVAX","0","0BUSD","CANCELED"
"2021-11-11 10:26:13","47813684","ARBUSD","Limit","BUY","45.66","151.11AR","2021-11-16 11:32:23","0AR","0","0BUSD","CANCELED"
"2021-11-11 10:02:46","81335416","EURBUSD","Limit","BUY","1.142","6700EUR","2021-11-11 11:00:28","6700EUR","1.142","7651.4BUSD","FILLED"
"2021-11-11 09:55:09","81334922","EURBUSD","Limit","BUY","1.141","6700EUR","2021-11-11 10:02:38","0EUR","0","0BUSD","CANCELED"
"2021-11-10 21:07:31","386038456","LINKBUSD","Limit","SELL","36.66","26.49LINK","2021-11-11 08:59:16","26.49LINK","36.66","971.1234BUSD","FILLED"
"2021-11-08 15:47:30","7104190","RAREBUSD","Limit","BUY","1.701","200RARE","2021-11-08 15:50:52","0RARE","0","0BUSD","CANCELED"
"2021-11-08 15:43:02","201299005","AVAXBUSD","Limit","BUY","94.91","0.2AVAX","2021-11-08 15:43:03","0.2AVAX","94.91","18.982BUSD","FILLED"
"2021-11-08 15:41:39","122016015","FTMBUSD","Limit","BUY","3.1303","4FTM","2021-11-08 15:41:39","4FTM","3.1303","12.5212BUSD","FILLED"
"2021-11-08 15:33:21","329634338","CAKEBUSD","Limit","BUY","17.88","50CAKE","2021-11-10 21:48:43","50CAKE","17.88","894BUSD","FILLED"
"2021-11-08 14:24:13","614551693","ADABUSD","Limit","BUY","1.919","3000ADA","2021-11-09 17:39:49","0ADA","0","0BUSD","CANCELED"
"2021-11-08 14:08:19","201165877","AVAXBUSD","Limit","BUY","62.62","50AVAX","2021-11-16 14:21:59","0AVAX","0","0BUSD","CANCELED"
"2021-11-08 14:06:04","121879383","FTMBUSD","Limit","BUY","2.4242","2000FTM","2021-11-10 21:24:39","2000FTM","2.4242","4848.4BUSD","FILLED"
"2021-11-01 11:10:34","195031304","AVAXBUSD","Limit","BUY","56.56","50AVAX","2021-11-08 14:07:31","0AVAX","0","0BUSD","CANCELED"
"2021-11-01 11:06:18","113661429","FTMBUSD","Limit","BUY","2.228","2000FTM","2021-11-08 14:05:05","0FTM","0","0BUSD","CANCELED"
"2021-10-30 13:57:57","80092209","EURBUSD","Limit","BUY","1.15","10000EUR","2021-11-05 13:16:34","10000EUR","1.15","11500BUSD","FILLED"
"2021-10-15 21:31:29","176570501","LUNABUSD","Limit","BUY","33.77","200LUNA","2021-11-11 10:12:19","0LUNA","0","0BUSD","CANCELED"
"2021-10-15 21:26:11","38561831","ARBUSD","Limit","BUY","51.15","20AR","2021-10-17 20:03:21","20AR","51.15","1023BUSD","FILLED"
"2021-10-15 21:12:39","183839903","AVAXBUSD","Limit","BUY","51.51","60AVAX","2021-11-01 11:10:49","0AVAX","0","0BUSD","CANCELED"
"2021-10-15 21:05:03","319115540","CAKEBUSD","Limit","BUY","19.19","200CAKE","2021-10-17 20:05:27","200CAKE","19.19","3838BUSD","FILLED"
"2021-10-15 20:57:50","86725717","FTMBUSD","Limit","BUY","1.911","1570FTM","2021-11-01 11:11:39","0FTM","0","0BUSD","CANCELED"
"2021-10-15 20:49:56","176551882","LUNABUSD","Limit","BUY","33.44","300LUNA","2021-10-15 20:50:09","0LUNA","0","0BUSD","CANCELED"
"2021-10-15 20:38:24","113654801","ZECBUSD","Limit","BUY","101.1","10ZEC","2021-11-16 11:26:23","0ZEC","0","0BUSD","CANCELED"
"2021-10-13 18:19:49","338624352","DOTBUSD","Limit","SELL","39.44","21DOT","2021-10-13 18:26:58","21DOT","39.44","828.24BUSD","FILLED"
"2021-10-13 09:38:34","950225987","BNBBUSD","Limit","SELL","461.1","6BNB","2021-10-13 10:25:27","6BNB","461.1","2766.6BUSD","FILLED"
"2021-10-13 09:34:45","950219016","BNBBUSD","Limit","SELL","466.4","30BNB","2021-10-13 22:40:16","30BNB","466.4","13992BUSD","FILLED"
"2021-10-12 21:32:49","68167821","ATABUSD","Limit","SELL","1.8765","1100ATA","2021-10-15 20:22:05","0ATA","0","0BUSD","CANCELED"
"2021-10-12 21:28:55","15664116","MLNBUSD","Limit","SELL","188.1","10MLN","2021-10-15 20:23:20","0MLN","0","0BUSD","CANCELED"
"2021-10-12 21:12:40","2542950","RAREBUSD","Limit","BUY","2.222","100RARE","2021-10-13 05:59:49","100RARE","2.222","222.2BUSD","FILLED"
"2021-10-11 19:59:03","172401426","LUNABUSD","Limit","BUY","27.89","100LUNA","2021-10-15 20:29:12","0LUNA","0","0BUSD","CANCELED"
"2021-10-11 19:58:23","172400410","LUNABUSD","Limit","BUY","24.44","200LUNA","2021-10-15 20:23:42","0LUNA","0","0BUSD","CANCELED"
"2021-10-07 12:15:15","112754002","ZECBUSD","Limit","BUY","101.1","10ZEC","2021-10-15 20:37:12","0ZEC","0","0BUSD","CANCELED"
"2021-10-05 12:00:09","367226650","LINKBUSD","Limit","SELL","33.33","426.49LINK","2021-10-15 20:39:15","0LINK","0","0BUSD","CANCELED"
"2021-10-05 11:57:47","387593411","SOLBUSD","Limit","SELL","198.3","6SOL","2021-10-15 20:40:39","0SOL","0","0BUSD","CANCELED"
"2021-10-04 13:55:30","366782302","LINKBUSD","Limit","SELL","26.88","85LINK","2021-10-04 13:59:15","85LINK","26.88","2284.8BUSD","FILLED"
"2021-10-03 22:52:56","163275341","LUNABUSD","Limit","SELL","47.89","100LUNA","2021-10-04 11:45:47","100LUNA","47.89","4789BUSD","FILLED"
"2021-10-03 22:50:45","163274444","LUNABUSD","Limit","SELL","44.2","200LUNA","2021-10-04 04:33:27","200LUNA","44.2","8840BUSD","FILLED"
"2021-10-03 21:43:54","163233688","LUNABUSD","Limit","SELL","44.2","300LUNA","2021-10-03 22:49:49","0LUNA","0","0BUSD","CANCELED"
"2021-09-23 13:32:02","321807890","MATICBUSD","Limit","BUY","1.01","400MATIC","2021-10-15 20:32:45","0MATIC","0","0BUSD","CANCELED"
"2021-09-23 12:28:39","148347470","LUNABUSD","Limit","BUY","22.33","300LUNA","2021-10-15 20:26:22","0LUNA","0","0BUSD","CANCELED"
"2021-09-21 23:53:28","146249022","LUNABUSD","Limit","BUY","12.22","300LUNA","2021-09-23 12:27:11","0LUNA","0","0BUSD","CANCELED"
"2021-09-21 22:57:05","146191110","LUNABUSD","Limit","SELL","25.33","300LUNA","2021-09-21 23:00:27","300LUNA","25.33","7599BUSD","FILLED"
"2021-09-20 13:43:33","573462479","ADABUSD","Limit","BUY","2.01","9ADA","2021-09-21 00:13:58","9ADA","2.01","18.09BUSD","FILLED"
"2021-09-13 19:01:02","353837831","LINKBUSD","Limit","BUY","24.55","85LINK","2021-09-20 11:08:23","85LINK","24.55","2086.75BUSD","FILLED"
"2021-09-13 18:59:41","565427430","ADABUSD","Limit","BUY","2.045","1000ADA","2021-09-20 11:42:07","1000ADA","2.045","2045BUSD","FILLED"
"2021-09-13 18:57:14","353836380","LINKBUSD","Limit","BUY","24.55","2.44LINK","2021-09-13 19:00:19","0LINK","0","0BUSD","CANCELED"
"2021-09-13 18:41:24","565415302","ADABUSD","Limit","BUY","2.045","2000ADA","2021-09-13 18:58:58","0ADA","0","0BUSD","CANCELED"
"2021-09-10 23:08:53","301715811","SOLBUSD","Limit","BUY","155.66","125SOL","2021-09-13 03:55:39","125SOL","155.66","19457.5BUSD","FILLED"
"2021-09-10 23:04:03","134230478","LUNABUSD","Limit","BUY","38.11","300LUNA","2021-09-11 17:21:01","300LUNA","38.11","11433BUSD","FILLED"
"2021-09-10 23:00:34","134225928","LUNABUSD","Limit","SELL","38.34","300LUNA","2021-09-10 23:00:34","300LUNA","38.42253333","11526.76BUSD","FILLED"
"2021-09-08 19:32:18","290172210","SOLBUSD","Limit","BUY","144.44","125SOL","2021-09-10 23:00:50","0SOL","0","0BUSD","CANCELED"
"2021-09-08 19:29:51","290162129","SOLBUSD","Limit","BUY","142.33","125SOL","2021-09-08 19:31:23","0SOL","0","0BUSD","CANCELED"
